Title,Authors,Abstract,arXiv ID,PDF_Link,Search Term
"A Review of the Evidence for Existential Risk from AI via Misaligned
  Power-Seeking",Rose Hadshar,"Rapid advancements in artificial intelligence (AI) have sparked growing
concerns among experts, policymakers, and world leaders regarding the potential
for increasingly advanced AI systems to pose existential risks. This paper
reviews the evidence for existential risks from AI via misalignment, where AI
systems develop goals misaligned with human values, and power-seeking, where
misaligned AIs actively seek power. The review examines empirical findings,
conceptual arguments and expert opinion relating to specification gaming, goal
misgeneralization, and power-seeking. The current state of the evidence is
found to be concerning but inconclusive regarding the existence of extreme
forms of misaligned power-seeking. Strong empirical evidence of specification
gaming combined with strong conceptual evidence for power-seeking make it
difficult to dismiss the possibility of existential risk from misaligned
power-seeking. On the other hand, to date there are no public empirical
examples of misaligned power-seeking in AI systems, and so arguments that
future systems will pose an existential risk remain somewhat speculative. Given
the current state of the evidence, it is hard to be extremely confident either
that misaligned power-seeking poses a large existential risk, or that it poses
no existential risk. The fact that we cannot confidently rule out existential
risk from AI via misaligned power-seeking is cause for serious concern.",2310.18244v1,https://arxiv.org/pdf/2310.18244v1,Power seeking
Power-seeking can be probable and predictive for trained agents,"Victoria Krakovna, Janos Kramar","Power-seeking behavior is a key source of risk from advanced AI, but our
theoretical understanding of this phenomenon is relatively limited. Building on
existing theoretical results demonstrating power-seeking incentives for most
reward functions, we investigate how the training process affects power-seeking
incentives and show that they are still likely to hold for trained agents under
some simplifying assumptions. We formally define the training-compatible goal
set (the set of goals consistent with the training rewards) and assume that the
trained agent learns a goal from this set. In a setting where the trained agent
faces a choice to shut down or avoid shutdown in a new situation, we prove that
the agent is likely to avoid shutdown. Thus, we show that power-seeking
incentives can be probable (likely to arise for trained agents) and predictive
(allowing us to predict undesirable behavior in new situations).",2304.06528v1,https://arxiv.org/pdf/2304.06528v1,Power seeking
On Avoiding Power-Seeking by Artificial Intelligence,Alexander Matt Turner,"We do not know how to align a very intelligent AI agent's behavior with human
interests. I investigate whether -- absent a full solution to this AI alignment
problem -- we can build smart AI agents which have limited impact on the world,
and which do not autonomously seek power. In this thesis, I introduce the
attainable utility preservation (AUP) method. I demonstrate that AUP produces
conservative, option-preserving behavior within toy gridworlds and within
complex environments based off of Conway's Game of Life. I formalize the
problem of side effect avoidance, which provides a way to quantify the side
effects an agent had on the world. I also give a formal definition of
power-seeking in the context of AI agents and show that optimal policies tend
to seek power. In particular, most reward functions have optimal policies which
avoid deactivation. This is a problem if we want to deactivate or correct an
intelligent agent after we have deployed it. My theorems suggest that since
most agent goals conflict with ours, the agent would very probably resist
correction. I extend these theorems to show that power-seeking incentives occur
not just for optimal decision-makers, but under a wide range of decision-making
procedures.",2206.11831v1,https://arxiv.org/pdf/2206.11831v1,Power seeking
Is Power-Seeking AI an Existential Risk?,Joseph Carlsmith,"This report examines what I see as the core argument for concern about
existential risk from misaligned artificial intelligence. I proceed in two
stages. First, I lay out a backdrop picture that informs such concern. On this
picture, intelligent agency is an extremely powerful force, and creating agents
much more intelligent than us is playing with fire -- especially given that if
their objectives are problematic, such agents would plausibly have instrumental
incentives to seek power over humans. Second, I formulate and evaluate a more
specific six-premise argument that creating agents of this kind will lead to
existential catastrophe by 2070. On this argument, by 2070: (1) it will become
possible and financially feasible to build relevantly powerful and agentic AI
systems; (2) there will be strong incentives to do so; (3) it will be much
harder to build aligned (and relevantly powerful/agentic) AI systems than to
build misaligned (and relevantly powerful/agentic) AI systems that are still
superficially attractive to deploy; (4) some such misaligned systems will seek
power over humans in high-impact ways; (5) this problem will scale to the full
disempowerment of humanity; and (6) such disempowerment will constitute an
existential catastrophe. I assign rough subjective credences to the premises in
this argument, and I end up with an overall estimate of ~5% that an existential
catastrophe of this kind will occur by 2070. (May 2022 update: since making
this report public in April 2021, my estimate here has gone up, and is now at
>10%.)",2206.13353v2,https://arxiv.org/pdf/2206.13353v2,Power seeking
Parametrically Retargetable Decision-Makers Tend To Seek Power,"Alexander Matt Turner, Prasad Tadepalli","If capable AI agents are generally incentivized to seek power in service of
the objectives we specify for them, then these systems will pose enormous
risks, in addition to enormous benefits. In fully observable environments, most
reward functions have an optimal policy which seeks power by keeping options
open and staying alive. However, the real world is neither fully observable,
nor must trained agents be even approximately reward-optimal. We consider a
range of models of AI decision-making, from optimal, to random, to choices
informed by learning and interacting with an environment. We discover that many
decision-making functions are retargetable, and that retargetability is
sufficient to cause power-seeking tendencies. Our functional criterion is
simple and broad. We show that a range of qualitatively dissimilar
decision-making procedures incentivize agents to seek power. We demonstrate the
flexibility of our results by reasoning about learned policy incentives in
Montezuma's Revenge. These results suggest a safety risk: Eventually,
retargetable training procedures may train real-world agents which seek power
over humans.",2206.13477v2,https://arxiv.org/pdf/2206.13477v2,Seek power
"Multiagent Copilot Approach for Shared Autonomy between Human EEG and
  TD3 Deep Reinforcement Learning","Chun-Ren Phang, Akimasa Hirata","Deep reinforcement learning (RL) algorithms enable the development of fully
autonomous agents that can interact with the environment. Brain-computer
interface (BCI) systems decipher human implicit brain signals regardless of the
explicit environment. In this study, we integrated deep RL and BCI to improve
beneficial human interventions in autonomous systems and the performance in
decoding brain activities by considering environmental factors. Shared autonomy
was allowed between the action command decoded from the electroencephalography
(EEG) of the human agent and the action generated from the twin delayed DDPG
(TD3) agent for a given environment. Our proposed copilot control scheme with a
full blocker (Co-FB) significantly outperformed the individual EEG (EEG-NB) or
TD3 control. The Co-FB model achieved a higher target approaching score, lower
failure rate, and lower human workload than the EEG-NB model. The Co-FB control
scheme had a higher invisible target score and level of allowed human
intervention than the TD3 model. We also proposed a disparity d-index to
evaluate the effect of contradicting agent decisions on the control accuracy
and authority of the copilot model. We found a significant correlation between
the control authority of the TD3 agent and the performance improvement of human
EEG classification with respect to the d-index. We also observed that shifting
control authority to the TD3 agent improved performance when BCI decoding was
not optimal. These findings indicate that the copilot system can effectively
handle complex environments and that BCI performance can be improved by
considering environmental factors. Future work should employ continuous action
space and different multi-agent approaches to evaluate copilot performance.",2312.14458v1,https://arxiv.org/pdf/2312.14458v1,Multiagent
"Exact Algorithms and Lowerbounds for Multiagent Pathfinding: Power of
  Treelike Topology","Foivos Fioravantes, Dušan Knop, Jan Matyáš Křišťan, Nikolaos Melissinos, Michal Opler","In the Multiagent Path Finding problem (MAPF for short), we focus on
efficiently finding non-colliding paths for a set of $k$ agents on a given
graph $G$, where each agent seeks a path from its source vertex to a target. An
important measure of the quality of the solution is the length of the proposed
schedule $\ell$, that is, the length of a longest path (including the waiting
time). In this work, we propose a systematic study under the parameterized
complexity framework. The hardness results we provide align with many
heuristics used for this problem, whose running time could potentially be
improved based on our fixed-parameter tractability results.
  We show that MAPF is W[1]-hard with respect to $k$ (even if $k$ is combined
with the maximum degree of the input graph). The problem remains NP-hard in
planar graphs even if the maximum degree and the makespan$\ell$ are fixed
constants. On the positive side, we show an FPT algorithm for $k+\ell$.
  As we delve further, the structure of~$G$ comes into play. We give an FPT
algorithm for parameter $k$ plus the diameter of the graph~$G$. The MAPF
problem is W[1]-hard for cliquewidth of $G$ plus $\ell$ while it is FPT for
treewidth of $G$ plus $\ell$.",2312.09646v1,https://arxiv.org/pdf/2312.09646v1,Multiagent
"Networked Multiagent Safe Reinforcement Learning for Low-carbon Demand
  Management in Distribution Network","Jichen Zhang, Linwei Sang, Yinliang Xu, Hongbin Sun","This paper proposes a multiagent based bi-level operation framework for the
low-carbon demand management in distribution networks considering the carbon
emission allowance on the demand side. In the upper level, the aggregate load
agents optimize the control signals for various types of loads to maximize the
profits; in the lower level, the distribution network operator makes optimal
dispatching decisions to minimize the operational costs and calculates the
distribution locational marginal price and carbon intensity. The distributed
flexible load agent has only incomplete information of the distribution network
and cooperates with other agents using networked communication. Finally, the
problem is formulated into a networked multi-agent constrained Markov decision
process, which is solved using a safe reinforcement learning algorithm called
consensus multi-agent constrained policy optimization considering the carbon
emission allowance for each agent. Case studies with the IEEE 33-bus and
123-bus distribution network systems demonstrate the effectiveness of the
proposed approach, in terms of satisfying the carbon emission constraint on
demand side, ensuring the safe operation of the distribution network and
preserving privacy of both sides.",2311.15594v1,https://arxiv.org/pdf/2311.15594v1,Multiagent
"The NeurIPS 2022 Neural MMO Challenge: A Massively Multiagent
  Competition with Specialization and Trade","Enhong Liu, Joseph Suarez, Chenhui You, Bo Wu, Bingcheng Chen, Jun Hu, Jiaxin Chen, Xiaolong Zhu, Clare Zhu, Julian Togelius, Sharada Mohanty, Weijun Hong, Rui Du, Yibing Zhang, Qinwen Wang, Xinhang Li, Zheng Yuan, Xiang Li, Yuejia Huang, Kun Zhang, Hanhui Yang, Shiqi Tang, Phillip Isola","In this paper, we present the results of the NeurIPS-2022 Neural MMO
Challenge, which attracted 500 participants and received over 1,600
submissions. Like the previous IJCAI-2022 Neural MMO Challenge, it involved
agents from 16 populations surviving in procedurally generated worlds by
collecting resources and defeating opponents. This year's competition runs on
the latest v1.6 Neural MMO, which introduces new equipment, combat, trading,
and a better scoring system. These elements combine to pose additional
robustness and generalization challenges not present in previous competitions.
This paper summarizes the design and results of the challenge, explores the
potential of this environment as a benchmark for learning methods, and presents
some practical reinforcement learning training approaches for complex tasks
with sparse rewards. Additionally, we have open-sourced our baselines,
including environment wrappers, benchmarks, and visualization tools for future
research.",2311.03707v1,https://arxiv.org/pdf/2311.03707v1,Multiagent
"Approximate Multiagent Reinforcement Learning for On-Demand Urban
  Mobility Problem on a Large Map (extended version)","Daniel Garces, Sushmita Bhattacharya, Dimitri Bertsekas, Stephanie Gil","In this paper, we focus on the autonomous multiagent taxi routing problem for
a large urban environment where the location and number of future ride requests
are unknown a-priori, but can be estimated by an empirical distribution. Recent
theory has shown that a rollout algorithm with a stable base policy produces a
near-optimal stable policy. In the routing setting, a policy is stable if its
execution keeps the number of outstanding requests uniformly bounded over time.
Although, rollout-based approaches are well-suited for learning cooperative
multiagent policies with considerations for future demand, applying such
methods to a large urban environment can be computationally expensive due to
the large number of taxis required for stability. In this paper, we aim to
address the computational bottleneck of multiagent rollout by proposing an
approximate multiagent rollout-based two phase algorithm that reduces
computational costs, while still achieving a stable near-optimal policy. Our
approach partitions the graph into sectors based on the predicted demand and
the maximum number of taxis that can run sequentially given the user's
computational resources. The algorithm then applies instantaneous assignment
(IA) for re-balancing taxis across sectors and a sector-wide multiagent rollout
algorithm that is executed in parallel for each sector. We provide two main
theoretical results: 1) characterize the number of taxis $m$ that is sufficient
for IA to be stable; 2) derive a necessary condition on $m$ to maintain
stability for IA as time goes to infinity. Our numerical results show that our
approach achieves stability for an $m$ that satisfies the theoretical
conditions. We also empirically demonstrate that our proposed two phase
algorithm has equivalent performance to the one-at-a-time rollout over the
entire map, but with significantly lower runtimes.",2311.01534v3,https://arxiv.org/pdf/2311.01534v3,Multiagent
