Title,Authors,Abstract,arXiv ID,PDF_Link
"A graph neural network-based model with Out-of-Distribution Robustness
  for enhancing Antiretroviral Therapy Outcome Prediction for HIV-1","Giulia Di Teodoro, Federico Siciliano, Valerio Guarrasi, Anne-Mieke Vandamme, Valeria Ghisetti, Anders Sönnerborg, Maurizio Zazzi, Fabrizio Silvestri, Laura Palagi","Predicting the outcome of antiretroviral therapies for HIV-1 is a pressing
clinical challenge, especially when the treatment regimen includes drugs for
which limited effectiveness data is available. This scarcity of data can arise
either due to the introduction of a new drug to the market or due to limited
use in clinical settings. To tackle this issue, we introduce a novel joint
fusion model, which combines features from a Fully Connected (FC) Neural
Network and a Graph Neural Network (GNN). The FC network employs tabular data
with a feature vector made up of viral mutations identified in the most recent
genotypic resistance test, along with the drugs used in therapy. Conversely,
the GNN leverages knowledge derived from Stanford drug-resistance mutation
tables, which serve as benchmark references for deducing in-vivo treatment
efficacy based on the viral genetic sequence, to build informative graphs. We
evaluated these models' robustness against Out-of-Distribution drugs in the
test set, with a specific focus on the GNN's role in handling such scenarios.
Our comprehensive analysis demonstrates that the proposed model consistently
outperforms the FC model, especially when considering Out-of-Distribution
drugs. These results underscore the advantage of integrating Stanford scores in
the model, thereby enhancing its generalizability and robustness, but also
extending its utility in real-world applications with limited data
availability. This research highlights the potential of our approach to inform
antiretroviral therapy outcome prediction and contribute to more informed
clinical decisions.",2312.17506v1,https://arxiv.org/pdf/2312.17506v1
"Self-supervised Pretraining for Robust Personalized Voice Activity
  Detection in Adverse Conditions","Holger Severin Bovbjerg, Jesper Jensen, Jan Østergaard, Zheng-Hua Tan","In this paper, we propose the use of self-supervised pretraining on a large
unlabelled data set to improve the performance of a personalized voice activity
detection (VAD) model in adverse conditions. We pretrain a long short-term
memory (LSTM)-encoder using the autoregressive predictive coding (APC)
framework and fine-tune it for personalized VAD. We also propose a denoising
variant of APC, with the goal of improving the robustness of personalized VAD.
The trained models are systematically evaluated on both clean speech and speech
contaminated by various types of noise at different SNR-levels and compared to
a purely supervised model. Our experiments show that self-supervised
pretraining not only improves performance in clean conditions, but also yields
models which are more robust to adverse conditions compared to purely
supervised learning.",2312.16613v2,https://arxiv.org/pdf/2312.16613v2
"An Integrated Imitation and Reinforcement Learning Methodology for
  Robust Agile Aircraft Control with Limited Pilot Demonstration Data","Gulay Goktas Sever, Umut Demir, Abdullah Sadik Satir, Mustafa Cagatay Sahin, Nazim Kemal Ure","In this paper, we present a methodology for constructing data-driven maneuver
generation models for agile aircraft that can generalize across a wide range of
trim conditions and aircraft model parameters. Maneuver generation models play
a crucial role in the testing and evaluation of aircraft prototypes, providing
insights into the maneuverability and agility of the aircraft. However,
constructing the models typically requires extensive amounts of real pilot
data, which can be time-consuming and costly to obtain. Moreover, models built
with limited data often struggle to generalize beyond the specific flight
conditions covered in the original dataset. To address these challenges, we
propose a hybrid architecture that leverages a simulation model, referred to as
the source model. This open-source agile aircraft simulator shares similar
dynamics with the target aircraft and allows us to generate unlimited data for
building a proxy maneuver generation model. We then fine-tune this model to the
target aircraft using a limited amount of real pilot data. Our approach
combines techniques from imitation learning, transfer learning, and
reinforcement learning to achieve this objective. To validate our methodology,
we utilize real agile pilot data provided by Turkish Aerospace Industries
(TAI). By employing the F-16 as the source model, we demonstrate that it is
possible to construct a maneuver generation model that generalizes across
various trim conditions and aircraft parameters without requiring any
additional real pilot data. Our results showcase the effectiveness of our
approach in developing robust and adaptable models for agile aircraft.",2401.08663v1,https://arxiv.org/pdf/2401.08663v1
How Robust are LLMs to In-Context Majority Label Bias?,"Karan Gupta, Sumegh Roychowdhury, Siva Rajesh Kasa, Santhosh Kumar Kasa, Anish Bhanushali, Nikhil Pattisapu, Prasanna Srinivasa Murthy","In the In-Context Learning (ICL) setup, various forms of label biases can
manifest. One such manifestation is majority label bias, which arises when the
distribution of labeled examples in the in-context samples is skewed towards
one or more specific classes making Large Language Models (LLMs) more prone to
predict those labels. Such discrepancies can arise from various factors,
including logistical constraints, inherent biases in data collection methods,
limited access to diverse data sources, etc. which are unavoidable in a
real-world industry setup. In this work, we study the robustness of in-context
learning in LLMs to shifts that occur due to majority label bias within the
purview of text classification tasks. Prior works have shown that in-context
learning with LLMs is susceptible to such biases. In our study, we go one level
deeper and show that the robustness boundary varies widely for different models
and tasks, with certain LLMs being highly robust (~90%) to majority label bias.
Additionally, our findings also highlight the impact of model size and the
richness of instructional prompts contributing towards model robustness. We
restrict our study to only publicly available open-source models to ensure
transparency and reproducibility.",2312.16549v1,https://arxiv.org/pdf/2312.16549v1
"Visual Spatial Attention and Proprioceptive Data-Driven Reinforcement
  Learning for Robust Peg-in-Hole Task Under Variable Conditions","André Yuji Yasutomi, Hideyuki Ichiwara, Hiroshi Ito, Hiroki Mori, Tetsuya Ogata","Anchor-bolt insertion is a peg-in-hole task performed in the construction
field for holes in concrete. Efforts have been made to automate this task, but
the variable lighting and hole surface conditions, as well as the requirements
for short setup and task execution time make the automation challenging. In
this study, we introduce a vision and proprioceptive data-driven robot control
model for this task that is robust to challenging lighting and hole surface
conditions. This model consists of a spatial attention point network (SAP) and
a deep reinforcement learning (DRL) policy that are trained jointly end-to-end
to control the robot. The model is trained in an offline manner, with a
sample-efficient framework designed to reduce training time and minimize the
reality gap when transferring the model to the physical world. Through
evaluations with an industrial robot performing the task in 12 unknown holes,
starting from 16 different initial positions, and under three different
lighting conditions (two with misleading shadows), we demonstrate that SAP can
generate relevant attention points of the image even in challenging lighting
conditions. We also show that the proposed model enables task execution with
higher success rate and shorter task completion time than various baselines.
Due to the proposed model's high effectiveness even in severe lighting, initial
positions, and hole conditions, and the offline training framework's high
sample-efficiency and short training time, this approach can be easily applied
to construction.",2312.16438v2,https://arxiv.org/pdf/2312.16438v2
"Refining Latent Homophilic Structures over Heterophilic Graphs for
  Robust Graph Convolution Networks","Chenyang Qiu, Guoshun Nan, Tianyu Xiong, Wendi Deng, Di Wang, Zhiyang Teng, Lijuan Sun, Qimei Cui, Xiaofeng Tao","Graph convolution networks (GCNs) are extensively utilized in various graph
tasks to mine knowledge from spatial data. Our study marks the pioneering
attempt to quantitatively investigate the GCN robustness over omnipresent
heterophilic graphs for node classification. We uncover that the predominant
vulnerability is caused by the structural out-of-distribution (OOD) issue. This
finding motivates us to present a novel method that aims to harden GCNs by
automatically learning Latent Homophilic Structures over heterophilic graphs.
We term such a methodology as LHS. To elaborate, our initial step involves
learning a latent structure by employing a novel self-expressive technique
based on multi-node interactions. Subsequently, the structure is refined using
a pairwisely constrained dual-view contrastive learning approach. We
iteratively perform the above procedure, enabling a GCN model to aggregate
information in a homophilic way on heterophilic graphs. Armed with such an
adaptable structure, we can properly mitigate the structural OOD threats over
heterophilic graphs. Experiments on various benchmarks show the effectiveness
of the proposed LHS approach for robust GCNs.",2312.16418v1,https://arxiv.org/pdf/2312.16418v1
"Dynamic Sub-graph Distillation for Robust Semi-supervised Continual
  Learning","Yan Fan, Yu Wang, Pengfei Zhu, Qinghua Hu","Continual learning (CL) has shown promising results and comparable
performance to learning at once in a fully supervised manner. However, CL
strategies typically require a large number of labeled samples, making their
real-life deployment challenging. In this work, we focus on semi-supervised
continual learning (SSCL), where the model progressively learns from partially
labeled data with unknown categories. We provide a comprehensive analysis of
SSCL and demonstrate that unreliable distributions of unlabeled data lead to
unstable training and refinement of the progressing stages. This problem
severely impacts the performance of SSCL. To address the limitations, we
propose a novel approach called Dynamic Sub-Graph Distillation (DSGD) for
semi-supervised continual learning, which leverages both semantic and
structural information to achieve more stable knowledge distillation on
unlabeled data and exhibit robustness against distribution bias. Firstly, we
formalize a general model of structural distillation and design a dynamic graph
construction for the continual learning progress. Next, we define a structure
distillation vector and design a dynamic sub-graph distillation algorithm,
which enables end-to-end training and adaptability to scale up tasks. The
entire proposed method is adaptable to various CL methods and supervision
settings. Finally, experiments conducted on three datasets CIFAR10, CIFAR100,
and ImageNet-100, with varying supervision ratios, demonstrate the
effectiveness of our proposed approach in mitigating the catastrophic
forgetting problem in semi-supervised continual learning scenarios.",2312.16409v1,https://arxiv.org/pdf/2312.16409v1
"Robustness Verification for Knowledge-Based Logic of Risky Driving
  Scenes","Xia Wang, Anda Liang, Jonathan Sprinkle, Taylor T. Johnson","Many decision-making scenarios in modern life benefit from the decision
support of artificial intelligence algorithms, which focus on a data-driven
philosophy and automated programs or systems. However, crucial decision issues
related to security, fairness, and privacy should consider more human knowledge
and principles to supervise such AI algorithms to reach more proper solutions
and to benefit society more effectively. In this work, we extract
knowledge-based logic that defines risky driving formats learned from public
transportation accident datasets, which haven't been analyzed in detail to the
best of our knowledge. More importantly, this knowledge is critical for
recognizing traffic hazards and could supervise and improve AI models in
safety-critical systems. Then we use automated verification methods to verify
the robustness of such logic. More specifically, we gather 72 accident datasets
from Data.gov and organize them by state. Further, we train Decision Tree and
XGBoost models on each state's dataset, deriving accident judgment logic.
Finally, we deploy robustness verification on these tree-based models under
multiple parameter combinations.",2312.16364v1,https://arxiv.org/pdf/2312.16364v1
"Robust Neural Pruning with Gradient Sampling Optimization for Residual
  Neural Networks",Juyoung Yun,"This research embarks on pioneering the integration of gradient sampling
optimization techniques, particularly StochGradAdam, into the pruning process
of neural networks. Our main objective is to address the significant challenge
of maintaining accuracy in pruned neural models, critical in
resource-constrained scenarios. Through extensive experimentation, we
demonstrate that gradient sampling significantly preserves accuracy during and
after the pruning process compared to traditional optimization methods. Our
study highlights the pivotal role of gradient sampling in robust learning and
maintaining crucial information post substantial model simplification. The
results across CIFAR-10 datasets and residual neural architectures validate the
versatility and effectiveness of our approach. This work presents a promising
direction for developing efficient neural networks without compromising
performance, even in environments with limited computational resources.",2312.16020v3,https://arxiv.org/pdf/2312.16020v3
Robust Survival Analysis with Adversarial Regularization,"Michael Potter, Stefano Maxenti, Michael Everett","Survival Analysis (SA) models the time until an event occurs, with
applications in fields like medicine, defense, finance, and aerospace. Recent
work shows that Neural Networks (NNs) can capture complex relationships in SA.
However, dataset uncertainties (e.g., noisy measurements, human error) can
degrade model performance. To address this, we leverage NN verification
advances to create algorithms for robust, fully-parametric survival models. We
introduce a robust loss function and use CROWN-IBP regularization to handle
computational challenges in the Min-Max problem. Evaluating our approach on
SurvSet datasets, we find that our Survival Analysis with Adversarial
Regularization (SAWAR) method consistently outperforms baselines under various
perturbations with respect to Negative Log Likelihood (NegLL), Integrated Brier
Score (IBS), and Concordance Index (CI). This demonstrates that adversarial
regularization enhances SA performance and calibration, mitigating data
uncertainty and improving generalization across diverse datasets up to 150%
across all perturbation magnitudes.",2312.16019v3,https://arxiv.org/pdf/2312.16019v3
